"id","input","target","work"
32223,"class _ { private void setObjectManagers(Set<String> affectedNamespaces, IObjectManager manager) {
for (String  string :  affectedNamespaces) {
getDelta(string).setObjectManager(manager);
} if (eventDelta != null) eventDelta.setObjectManager(manager);
} }","class _ { private void setObjectManagers(Set<String> affectedNamespaces, IObjectManager manager) {
for (String namespace : affectedNamespaces) {
getDelta(namespace).setObjectManager(manager);
} if (eventDelta != null) eventDelta.setObjectManager(manager);
} }",1
32231,"class _ { public void receiveCommand(String itemName, Command command) {
logger.trace(""receiveCommand({},{}) called."", itemName, command.toString());
if (this.eventPublisher == null) {
 logger.error(""receiveCommand(): eventPublisher is NULL. Should NEVER occur."");
 return;
} super.receiveCommand(itemName, command);
} }","class _ { public void receiveCommand(String itemName, Command command) {
logger.trace(""receiveCommand({},{}) called."", itemName, command.toString());
if (this.eventPublisher == null) {
logger.warn(""receiveCommand(): eventPublisher is NULL. Should NEVER occur."");
return;
} super.receiveCommand(itemName, command);
} }",1
32257,"class _ { public PostMessageField(String title, String value) {
this.title = title;
 this.value = value;
 } }","class _ { public PostMessageField(String title, String value) {
this(title, value, false);
} }",1
32281,"class _ { public void setParams(Object[] params) {
if (params.length != 1) {
throw new IllegalArgumentException(""expecting one parameter"");
}  setParams((Map<Object, Number>) params[0]);
 } }","class _ { public void setParams(Object[] params) {
if (params.length != 1) {
throw new IllegalArgumentException(""expecting one parameter"");
} setParams((Map<?, ?>) params[0]);
} }",1
32288,"class _ { public void doRun(IProgressMonitor monitor, String projectID) throws CoreException {
Object[] selection = getCheckedElements();
int totalSelected = selection.length;
if (totalSelected > 0) {
if (monitor == null) {
monitor = new NullProgressMonitor();
} SubMonitor submonitor = SubMonitor.convert(monitor, 1);
 submonitor.subTask(CUIPlugin.getResourceString(KEY_TITLE));
 convertProjects(selection, submonitor.split(1), projectID);
} } }","class _ { public void doRun(IProgressMonitor monitor, String projectID) throws CoreException {
Object[] selection = getCheckedElements();
int totalSelected = selection.length;
if (totalSelected > 0) {
SubMonitor submonitor = SubMonitor.convert(monitor, CUIPlugin.getResourceString(KEY_TITLE), 1);
convertProjects(selection, submonitor.split(1), projectID);
} } }",1
32299,"class _ { public AVideo(URL url) {
if (url == null)  throw new IllegalArgumentException(""null url"");
 _name = getName(url);
_url = url;
_isdata = DYNAMIC_STREAM;
_data = null;
_file = null;
} }","class _ { public AVideo(URL url) {
if (url == null) throw new IllegalArgumentException(""url cannot be null"");
_name = getName(url);
_url = url;
_isdata = DYNAMIC_STREAM;
_data = null;
_file = null;
} }",1
32302,"class _ {  private ValueArray convertToKey(ValueArray r, Boolean minmax) {
 if (r == null) {
return null;
} Value[] values = r.getList().clone();
ValueArray row = ValueArray.get(values);
if (minmax != null) {
values[values.length - 1] = ValueLong.get(minmax ? Long.MAX_VALUE : Long.MIN_VALUE);
} return row;
} }","class _ { private static ValueArray convertToKey(ValueArray r, Boolean minmax) {
if (r == null) {
return null;
} Value[] values = r.getList().clone();
ValueArray row = ValueArray.get(values);
if (minmax != null) {
values[values.length - 1] = ValueLong.get(minmax ? Long.MAX_VALUE : Long.MIN_VALUE);
} return row;
} }",1
32315,"class _ {  int getSpacing() {
 return 1;
} }","class _ { public int getSpacing() {
return 1;
} }",1
32318,"class _ { public boolean isUseBase() {
 if (useBase == null){
 return getDefault().useBase;
} return useBase;
} }","class _ { public boolean isUseBase() {
return useBase;
} }",1
32329,"class _ { public void add(final int index, final T element) {
try {
this.origin.add(index, element);
} catch (final IndexOutOfBoundsException ex) {
 throw new IllegalArgumentException(this.message, ex);
 } } }","class _ { public void add(final int index, final T element) {
try {
this.origin.add(index, element);
} catch (final IndexOutOfBoundsException ex) {
throw this.wrapException(ex);
} } }",1
32341,"class _ { @Override public E peek() {
lock.lock();
try {
if (queue.isEmpty()) {
 return null;
 } return queue.peek();
} catch (IOException e) {
QueueFile.<Error>getSneakyThrowable(e);
return null;
} finally {
lock.unlock();
} } }","class _ { @Override public E peek() {
lock.lock();
try {
return queue.peek();
} catch (IOException e) {
throw QueueFile.<Error>getSneakyThrowable(e);
} finally {
lock.unlock();
} } }",1
32343,"class _ { public void drawGridLines(Rectangle bounds, GC gc) {
if (!fGridLinesVisible) {
return;
} gc.setForeground(fGridLineColor);
gc.setAlpha(fGridLineColor.getAlpha());
for (int x : fTimeGraphScale.getTickList()) {
gc.drawLine(x, bounds.y, x, bounds.y + bounds.height);
}  gc.setAlpha(BLACK.getAlpha());
 } }","class _ { public void drawGridLines(Rectangle bounds, GC gc) {
if (!fGridLinesVisible) {
return;
} gc.setForeground(fGridLineColor);
gc.setAlpha(fGridLineColor.getAlpha());
for (int x : fTimeGraphScale.getTickList()) {
gc.drawLine(x, bounds.y, x, bounds.y + bounds.height);
} gc.setAlpha(OPAQUE);
} }",1
32352,"class _ {  public CommonPathCapabilities() {
 } }","class _ { private CommonPathCapabilities() {
} }",1
32353,"class _ { public FakeHttpServletRequest( Map<String, String> parameterMap, Cookie[] cookies, String workspace) {
this.parameterMap = parameterMap;
this.cookies = cookies;
this.workspace = workspace;
this.original = Optional.ofNullable( (ServletRequestAttributes) RequestContextHolder.getRequestAttributes())  .map(atts -> atts.getRequest());
 } }","class _ { public FakeHttpServletRequest( Map<String, String> parameterMap, Cookie[] cookies, String workspace) {
this.parameterMap = parameterMap;
this.cookies = cookies;
this.workspace = workspace;
this.original = Optional.ofNullable( (ServletRequestAttributes) RequestContextHolder.getRequestAttributes()) .map(ServletRequestAttributes::getRequest);
} }",1
32362,"class _ { public void setSpmMap(String spId, Host host) {
 spmMap.put(spId, host);
 } }","class _ { public void setSpmMap(String spId, Host host) {
this.spmMap.put(spId, host);
} }",1
32364,"class _ {  static <E,T> Validation<E,T> valid(Supplier<? extends T> supplier) {
 return new Valid<>(supplier.get());
} }","class _ { static <E,T> Validation<E,T> valid(Supplier<? extends T> supplier) {
Objects.requireNonNull(supplier, ""supplier is null"");
return new Valid<>(supplier.get());
} }",1
32383,"class _ {  private void checkPercentageValidity(int percentage, String message) {
 if (percentage < 0 || percentage > 100) {
throw new IllegalArgumentException(message);
} } }","class _ { private static void checkPercentageValidity(int percentage, String message) {
if (percentage < 0 || percentage > 100) {
throw new IllegalArgumentException(message);
} } }",1
32387,"class _ { public Cookie getCookie(String cookieName) {
 throw new IllegalStateException(""Not supported yet"");
 } }","class _ { public Cookie getCookie(String cookieName) {
throw new UnsupportedOperationException(""Not supported yet"");
} }",1
32393,"class _ { public void handleCheckStateChangedEvent(Collection<ITmfTreeViewerEntry> entries) {
cancelUpdate();
Iterable<TmfGenericTreeEntry> counterEntries = Iterables.filter(entries, TmfGenericTreeEntry.class);
Collection<@NonNull Long> selectedIds =  Lists.newArrayList(Iterables.transform(counterEntries,  e -> e.getModel().getId()));
if (!selectedIds.containsAll(fSelectedIds)) {
clearContent();
} fSelectedIds = selectedIds;
updateContent();
} }","class _ { public void handleCheckStateChangedEvent(Collection<ITmfTreeViewerEntry> entries) {
cancelUpdate();
Iterable<TmfGenericTreeEntry> counterEntries = Iterables.filter(entries, TmfGenericTreeEntry.class);
Collection<@NonNull Long> selectedIds = Sets.newHashSet(Iterables.transform(counterEntries, e -> e.getModel().getId()));
if (!selectedIds.containsAll(fSelectedIds)) {
clearContent();
} fSelectedIds = selectedIds;
updateContent();
} }",1
32404,"class _ { public List<PlanNode> getSources() {
 return Collections.singletonList(source);
 } }","class _ { public List<PlanNode> getSources() {
return singletonList(source);
} }",1
32432,"class _ { public String generateUuid() {
String uuid = UUID.randomUUID().toString();
 if (useHyphens) {
 uuid = uuid.replaceAll(""-"", """");
} return uuid;
} }","class _ { public String generateUuid() {
String uuid = UUID.randomUUID().toString();
if (!useHyphens) {
uuid = uuid.replaceAll(""-"", """");
} return uuid;
} }",1
32433,"class _ { protected Locale getLocaleFromRequest(final HttpServletRequest request) {
String localeString = getLocaleStringFromReferer(request);
 if (null == localeString) {
 localeString = getLocaleStringFromPath(request.getPathInfo());
} Locale locale = LocaleUtils.getLocaleFromString(localeString, true);
return locale;
} }","class _ { protected Locale getLocaleFromRequest(final HttpServletRequest request) {
String localeString = getLocaleStringFromReferer(request);
if (localeString == null) {
localeString = getLocaleStringFromPath(request.getPathInfo());
} Locale locale = LocaleUtils.getLocaleFromString(localeString, true);
return locale;
} }",1
32437,"class _ { public String toString() {
 return ""KinesisSupervisorSpec{"" +  ""dataSchema="" + getDataSchema() + "", tuningConfig="" + getTuningConfig() + "", ioConfig="" + getIoConfig() + "", suspended="" + isSuspended() + '}';
} }","class _ { public String toString() {
return ""KinesisSupervisorSpec{"" + ""dataSchema="" + getDataSchema() + "", tuningConfig="" + getTuningConfig() + "", ioConfig="" + getIoConfig() + "", suspended="" + isSuspended() + "", context="" + getContext() + '}';
} }",1
32442,"class _ {  public void testGetDependentFields() throws Exception  {
List<String> dependentFields = fac.getDependentFields();
assertEquals(1, dependentFields.size());
assertEquals(""field"", dependentFields.get(0));
} }","class _ { public void testGetDependentFields() {
List<String> dependentFields = fac.getDependentFields();
assertEquals(1, dependentFields.size());
assertEquals(""field"", dependentFields.get(0));
} }",1
32457,"class _ { public void stop() {
 running = false;
 } }","class _ { public void stop() {
running = false;
executorService.shutdown();
} }",1
32461,"class _ { public byte[] getPublicCertificate() {
 return publicCertificate.getBytes();
 } }","class _ { public byte[] getPublicCertificate() {
return publicCertificate.getBytes(StandardCharsets.UTF_8);
} }",1
32468,"class _ { private String buildMessageForCompositeName(String clusterName, String serviceName) {
 return String.format(""cluster name <%s>, name <%s>"",  clusterName, serviceName);
} }","class _ { private String buildMessageForCompositeName(String clusterName, String serviceName) {
return String.format(""cluster name <%s>, service name <%s>"", clusterName, serviceName);
} }",1
32470,"class _ { private synchronized void asyncAuth(int cmd, Buffer buffer, boolean authed) {
 try {
 if (authed) {
handleAuthenticationSuccess(cmd, buffer);
} else {
handleAuthenticationFailure(cmd, buffer);
} } catch (Exception e) {
log.warn(""Error performing async authentication: {}"", e.getMessage(), e);
} } }","class _ { protected synchronized void asyncAuth(int cmd, Buffer buffer, boolean authed) {
try {
if (authed) {
handleAuthenticationSuccess(cmd, buffer);
} else {
handleAuthenticationFailure(cmd, buffer);
} } catch (Exception e) {
log.warn(""Error performing async authentication: {}"", e.getMessage(), e);
} } }",1
32485,"class _ { public void setSeek(SeekCommand seekCommand) {
 this.fSeek = seekCommand;
 } }","class _ { public void setSeek(SeekCommand seekCommand) {
fSeek = seekCommand;
} }",1
32512,"class _ { public boolean isHandleRenamedFiles() {
 return handleRenamedFiles;
 } }","class _ { public boolean isHandleRenamedFiles() {
return handleRenamedFiles != null && handleRenamedFiles;
} }",1
32533,"class _ {  protected JaxbListWrapper<OnmsIpInterface> createListWrapper(Collection<OnmsIpInterface> list) {
 return new OnmsIpInterfaceList(list);
} }","class _ { protected final JaxbListWrapper<OnmsIpInterface> createListWrapper(Collection<OnmsIpInterface> list) {
return new OnmsIpInterfaceList(list);
} }",1
32554,"class _ {  private boolean nullOrEmpty(List<?> list) {
 return list == null || list.isEmpty();
} }","class _ { private static boolean nullOrEmpty(List<?> list) {
return list == null || list.isEmpty();
} }",1
32560,"class _ { public void testSimpleBatch() {
Batch batch = handle.createBatch();
batch.add(""INSERT INTO fruit VALUES(0, 'apple')"");
batch.add(""INSERT INTO fruit VALUES(1, 'banana')"");
int[] rowsModified = batch.execute();
 assertThat(rowsModified).hasSize(2).containsOnly(1);
 assertThat(handle.createQuery(""SELECT count(1) FROM fruit"") .mapTo(int.class) .findOnly() .intValue()) .isEqualTo(2);
} }","class _ { public void testSimpleBatch() {
Batch batch = handle.createBatch();
batch.add(""INSERT INTO fruit VALUES(0, 'apple')"");
batch.add(""INSERT INTO fruit VALUES(1, 'banana')"");
int[] rowsModified = batch.execute();
assertThat(rowsModified).containsExactly(1, 1);
assertThat(handle.createQuery(""SELECT count(1) FROM fruit"") .mapTo(int.class) .findOnly() .intValue()) .isEqualTo(2);
} }",1
32573,"class _ { public boolean hasAnyAcceptedCardType3dsRequired() {
return cardTypes.stream() .filter(CardTypeEntity::isRequires3ds)  .count() > 0;
 } }","class _ { public boolean hasAnyAcceptedCardType3dsRequired() {
return cardTypes.stream() .anyMatch(CardTypeEntity::isRequires3ds);
} }",1
32579,"class _ {  public void testSequenceFlowSupplier() throws Exception {
 final CaseManagementSetChildNodeGraphCommand command = new CaseManagementSetChildNodeGraphCommand(parent, candidate, index, originalParent, originalIndex);
final Supplier<ViewConnector<SequenceFlow>> supplier = command.sequenceFlowSupplier();
final ViewConnector<SequenceFlow> viewConnector = supplier.get();
assertNotNull(viewConnector);
assertNotNull(viewConnector.getSourceConnection());
assertNotNull(viewConnector.getTargetConnection());
assertNotNull(viewConnector.getBounds());
assertNotNull(viewConnector.getDefinition());
} }","class _ { public void testSequenceFlowSupplier() {
final CaseManagementSetChildNodeGraphCommand command = new CaseManagementSetChildNodeGraphCommand(parent, candidate, index, originalParent, originalIndex);
final Supplier<ViewConnector<SequenceFlow>> supplier = command.sequenceFlowSupplier();
final ViewConnector<SequenceFlow> viewConnector = supplier.get();
assertNotNull(viewConnector);
assertNotNull(viewConnector.getSourceConnection());
assertNotNull(viewConnector.getTargetConnection());
assertNotNull(viewConnector.getBounds());
assertNotNull(viewConnector.getDefinition());
} }",1
32583,"class _ { public void clientConfiguredForDomain() throws IOException {
 System.out.println(""==================================="");
 ManagementClient.online(OnlineOptions.domain().build() .localDefault() .protocol(ManagementProtocol.HTTPS) .ssl(sslOptions) .auth(USERNAME, PASSWORD) .connectionTimeout(5000) .build() );
} }","class _ { public void clientConfiguredForDomain() throws IOException {
ManagementClient.online(OnlineOptions.domain().build() .localDefault() .protocol(ManagementProtocol.HTTPS) .ssl(sslOptions) .auth(USERNAME, PASSWORD) .connectionTimeout(5000) .build() );
} }",1
32593,"class _ { public void testValidResources() {
 cleanUp();
 final Resource[] resources = new Resource[]{new ClassPathResource(validName1)};
NeverFailAutoDeploymentStrategy deploymentStrategy = new NeverFailAutoDeploymentStrategy();
deploymentStrategy.deployResources(nameHint, resources, repositoryService);
assertEquals(1, repositoryService.createDeploymentQuery().count());
cleanUp();
} }","class _ { public void testValidResources() {
final Resource[] resources = new Resource[]{new ClassPathResource(validName1)};
NeverFailAutoDeploymentStrategy deploymentStrategy = new NeverFailAutoDeploymentStrategy();
deploymentStrategy.deployResources(nameHint, resources, repositoryService);
assertEquals(1, repositoryService.createDeploymentQuery().count());
} }",1
32599,"class _ { public void testUnhandledExceptionStoredOnCrashReportEnabled() {
CrashReporter.storeUnhandledException(exception);
 assertTrue(!sharedPreferences.getString(CrashReporter.EXCEPTION_FOR_REPORT, """").isEmpty());
 } }","class _ { public void testUnhandledExceptionStoredOnCrashReportEnabled() {
CrashReporter.storeUnhandledException(exception);
assertFalse(sharedPreferences.getString(CrashReporter.EXCEPTION_FOR_REPORT, """").isEmpty());
} }",1
32609,"class _ {  public BruteForce getBruteForce(ScanTarget target) {
 return this.bruteForceMap.get(target);
} }","class _ { BruteForce getBruteForce(ScanTarget target) {
return this.bruteForceMap.get(target);
} }",1
32652,"class _ { public TableType tableType() {
if (isView()) {
 return TableType.VIRTUAL_VIEW;
 } else if (isMaterializedView()) {
return TableType.MATERIALIZED_VIEW;
} return table.getTableType();
} }","class _ { public TableType tableType() {
return table.getTableType();
} }",1
32654,"class _ {  public int requestThrottleInflight() {
 if (requestThrottler != null) {
return requestThrottler.getInflight();
} return 0;
} }","class _ { private int requestThrottleInflight() {
if (requestThrottler != null) {
return requestThrottler.getInflight();
} return 0;
} }",1
32655,"class _ { public void loadBuildData(@NotNull Properties properties) {
loadBuildVersionAndTimeData(properties);
loadBuildHostData(properties);
 loadBuildNumber(System.getenv(), properties);
 } }","class _ { public void loadBuildData(@NotNull Properties properties) {
loadBuildVersionAndTimeData(properties);
loadBuildHostData(properties);
loadBuildNumber(properties);
} }",1
32679,"class _ { public Map<ContainerKeyPrefix, Integer> getKeyPrefixesForContainer( long containerId) throws IOException {
 return getKeyPrefixesForContainer(containerId, """");
 } }","class _ { public Map<ContainerKeyPrefix, Integer> getKeyPrefixesForContainer( long containerId) throws IOException {
return getKeyPrefixesForContainer(containerId, StringUtils.EMPTY);
} }",1
32702,"class _ { public SeekableByteArrayInputStream(byte[] buf) {
 this.buffer = buf;
 this.cur = 0;
this.max = buf.length;
} }","class _ { public SeekableByteArrayInputStream(byte[] buf) {
Preconditions.checkNotNull(buf, ""bug argument was null"");
this.buffer = buf;
this.cur = 0;
this.max = buf.length;
} }",1
32703,"class _ { public Optional<IPageTypeCategoryRole> getTypeCategoryForCatName(String categoryName) {
 loadTypeNameToCategoryMap();
 return Optional.fromNullable(getTypeNameToCategoryMapIncludeDeprecated().get(categoryName));
} }","class _ { public Optional<IPageTypeCategoryRole> getTypeCategoryForCatName(String categoryName) {
return Optional.fromNullable(getTypeNameToCategoryMapIncludeDeprecated().get(categoryName));
} }",1
32717,"class _ {  default public State as(Class<? extends State> target) {
 if (target != null && target.isInstance(this)) {
return this;
} else {
return null;
} } }","class _ { default State as(Class<? extends State> target) {
if (target != null && target.isInstance(this)) {
return this;
} else {
return null;
} } }",1
32720,"class _ { public ConnectorIndex getIndex( ConnectorTransactionHandle transactionHandle, ConnectorSession session, ConnectorIndexHandle indexHandle, List<ColumnHandle> lookupSchema, List<ColumnHandle> outputSchema) {
 ThriftIndexHandle thriftIndexHandle = (ThriftIndexHandle) indexHandle;
 return new ThriftConnectorIndex(clientProvider, thriftIndexHandle, lookupSchema, outputSchema, maxBytesPerResponse, lookupRequestsConcurrency);
} }","class _ { public ConnectorIndex getIndex( ConnectorTransactionHandle transactionHandle, ConnectorSession session, ConnectorIndexHandle indexHandle, List<ColumnHandle> lookupSchema, List<ColumnHandle> outputSchema) {
return new ThriftConnectorIndex(clientProvider, (ThriftIndexHandle) indexHandle, lookupSchema, outputSchema, maxBytesPerResponse, lookupRequestsConcurrency);
} }",1
32721,"class _ { public StatementMetadata(byte[] value) throws RdfDAOException {
 super();
 try {
if (value == null) {
metadataMap = new HashMap<>();
} else {
String metadataString = new String(value, ""UTF8"");
metadataMap = gson.fromJson(metadataString, type);
if (metadataMap == null) {
metadataMap = new HashMap<>();
} } } catch (UnsupportedEncodingException e) {
throw new RdfDAOException(e);
} } }","class _ { public StatementMetadata(byte[] value) throws RdfDAOException {
try {
if (value == null) {
metadataMap = new HashMap<>();
} else {
String metadataString = new String(value, ""UTF8"");
metadataMap = gson.fromJson(metadataString, type);
if (metadataMap == null) {
metadataMap = new HashMap<>();
} } } catch (UnsupportedEncodingException e) {
throw new RdfDAOException(e);
} } }",1
32736,"class _ { public static Neo4jBoltClient getInstance(Neo4jConfiguration neo4jConfiguration) {
 if ( INSTANCE_MAP != null &&  INSTANCE_MAP.size() > 0 && INSTANCE_MAP.containsKey(neo4jConfiguration) ) return INSTANCE_MAP.get(neo4jConfiguration);
else {
Neo4jBoltClient instance = new Neo4jBoltClient(neo4jConfiguration);
if( instance != null && instance.client != null ) {
INSTANCE_MAP.put(neo4jConfiguration, instance);
return instance;
} else {
return null;
} } } }","class _ { public static Neo4jBoltClient getInstance(Neo4jConfiguration neo4jConfiguration) {
if ( INSTANCE_MAP != null && INSTANCE_MAP.size() > 0 && INSTANCE_MAP.containsKey(neo4jConfiguration)) {
return INSTANCE_MAP.get(neo4jConfiguration);
} else {
Neo4jBoltClient instance = new Neo4jBoltClient(neo4jConfiguration);
if( instance != null && instance.client != null ) {
INSTANCE_MAP.put(neo4jConfiguration, instance);
return instance;
} else {
return null;
} } } }",1
32750,"class _ { public ReplicationPolicy getSystemReplicationPolicy() {
 DatabaseAccount databaseAccount = this.globalEndpointManager.getDatabaseAccountFromCache(this.serviceEndpoint).block();
 return BridgeInternal.getSystemReplicationPolicy(databaseAccount);
} }","class _ { public Mono<ReplicationPolicy> getSystemReplicationPolicy() {
return this.globalEndpointManager.getDatabaseAccountFromCache(this.serviceEndpoint).map(databaseAccount -> BridgeInternal.getSystemReplicationPolicy(databaseAccount));
} }",1
32755,"class _ { private VM mockVm(VMStatus vmStatus) {
vm.setStatus(vmStatus);
vm.setId(vmId);
vm.setRunOnVds(Guid.newGuid());
when(vmDao.get(command.getParameters().getVmId())).thenReturn(vm);
 return vm;
 } }","class _ { private void mockVm(VMStatus vmStatus) {
vm.setStatus(vmStatus);
vm.setId(vmId);
vm.setRunOnVds(Guid.newGuid());
when(vmDao.get(command.getParameters().getVmId())).thenReturn(vm);
} }",1
32767,"class _ { public void testBuildBlobId() throws Exception {
BlobId blobId = new BlobId(version, referenceType, referenceDatacenterId, referenceAccountId, referenceContainerId, referencePartitionId, referenceIsEncrypted);
 System.out.println(blobId.getID());
 assertEquals(""Wrong blobId version"", version, getVersionFromBlobString(blobId.getID()));
assertBlobIdFieldValues(version, blobId, referenceType, referenceDatacenterId, referenceAccountId, referenceContainerId, referencePartitionId, referenceIsEncrypted);
} }","class _ { public void testBuildBlobId() throws Exception {
BlobId blobId = new BlobId(version, referenceType, referenceDatacenterId, referenceAccountId, referenceContainerId, referencePartitionId, referenceIsEncrypted);
assertEquals(""Wrong blobId version"", version, getVersionFromBlobString(blobId.getID()));
assertBlobIdFieldValues(version, blobId, referenceType, referenceDatacenterId, referenceAccountId, referenceContainerId, referencePartitionId, referenceIsEncrypted);
} }",1
32813,"class _ { public static byte[] getRowKey(long txnId) {
long beginTS = txnId & SIConstants.TRANSANCTION_ID_MASK;
byte[] rowKey = new byte[9];
rowKey[0] = (byte)((beginTS / SIConstants.TRASANCTION_INCREMENT) & (TRANSACTION_TABLE_BUCKET_COUNT-1));
 rowKey[0] = (byte)(2);
 Bytes.longToBytes(beginTS, rowKey, 1);
return rowKey;
} }","class _ { public static byte[] getRowKey(long txnId) {
long beginTS = txnId & SIConstants.TRANSANCTION_ID_MASK;
byte[] rowKey = new byte[9];
rowKey[0] = (byte)((beginTS / SIConstants.TRASANCTION_INCREMENT) & (TRANSACTION_TABLE_BUCKET_COUNT-1));
Bytes.longToBytes(beginTS, rowKey, 1);
return rowKey;
} }",1
32824,"class _ { public boolean uses(final Use u) {
 return u == Use.X30 || u == Use.NDT || super.uses(u);
 } }","class _ { public boolean uses(final Use u) {
return u == Use.X30 || super.uses(u);
} }",1
